"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"90091","HCPP - 1833 Cost","HCPP - 1833 Cost","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement","UMWA Health and Retirement Funds","02/01/1974","No","42252","*","42252"
"E3014","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","Commonwealth of PA Pub Schools Retirement System","01/01/2007","Yes","*","96712","96712"
"H0022","Demo","Medicare-Medicaid Plan HMO/HMOPOS","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Centene Corporation","05/01/2014","Yes","*","11346","11346"
"H0028","Local CCP","HMO/HMOPOS","CHA HMO, INC.","Humana","Humana Inc.","01/01/2013","Yes","*","381046","381046"
"H0029","Local CCP","HMO/HMOPOS","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Centene Corporation","01/01/2018","Yes","*","*","*"
"H0034","Local CCP","HMO/HMOPOS","HAMASPIK, INC.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc.","01/01/2020","Yes","*","1370","1370"
"H0062","Local CCP","HMO/HMOPOS","SUPERIOR HEALTHPLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2017","Yes","*","*","*"
"H0074","Local CCP","Local PPO","WELLCARE OF MISSISSIPPI, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","1774","1774"
"H0088","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF NEW YORK, INC.","Wellcare","Centene Corporation","01/01/2018","Yes","*","1958","1958"
"H0104","Local CCP","Local PPO","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","BlueCross BlueShield of Alabama","07/01/2005","Yes","*","106691","106691"
"H0105","National PACE","National PACE","Orangeburg Senior Helping Center, LLC","Orangeburg Senior Helping Center: A PACE Healthcare Program","Orangeburg Senior Helping Center, LLC","03/01/2008","Yes","*","84","84"
"H0107","Local CCP","Local PPO","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Health Care Service Corporation","01/01/2014","Yes","44350","35255","79605"
"H0111","Local CCP","Local PPO","WELLCARE OF GEORGIA, INC.","Wellcare","Centene Corporation","01/01/2018","Yes","*","9560","9560"
"H0112","National PACE","National PACE","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Morse Life Home Care, Inc.","11/01/2013","Yes","*","805","805"
"H0137","Demo","Medicare-Medicaid Plan HMO/HMOPOS","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance Massachusetts","Commonwealth Care Alliance, Inc.","10/01/2013","Yes","*","32716","32716"
"H0154","Local CCP","HMO/HMOPOS","VIVA HEALTH, INC.","VIVA Medicare","Triton Health Systems, L.L.C.","05/01/1998","Yes","1434","54813","56247"
"H0169","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","*","90093","90093"
"H0174","Local CCP","HMO/HMOPOS","WELLCARE OF TEXAS, INC.","Wellcare","Centene Corporation","01/01/2016","Yes","*","69884","69884"
"H0192","Demo","Medicare-Medicaid Plan HMO/HMOPOS","AMERIHEALTH MICHIGAN, INC.","AmeriHealth Caritas VIP Care Plus","Independence Health Group, Inc.","05/01/2015","Yes","*","3247","3247"
"H0216","National PACE","National PACE","PACE IOWA","Immanuel Pathways Iowa","Immanuel","01/01/2012","Yes","*","405","405"
"H0235","National PACE","National PACE","PACE OF NORTHEAST INDIANA, LLC","PACE of Northeast Indiana, LLC","Aging & In-Home Services of Northeast Indiana, Inc","05/01/2021","Yes","*","65","65"
"H0247","National PACE","National PACE","ALLCARE PACE, LLC","AllCare PACE, LLC","AllCare Health, Inc.","07/01/2020","Yes","*","69","69"
"H0251","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2007","Yes","*","74193","74193"
"H0270","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF AMERICA","Wellcare","Centene Corporation","01/01/2019","Yes","*","822","822"
"H0271","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2019","Yes","*","378973","378973"
"H0292","Local CCP","HMO/HMOPOS","HUMANA HEALTH PLAN OF OHIO, INC.","Humana","Humana Inc.","01/01/2019","Yes","*","10119","10119"
"H0294","Local CCP","Local PPO","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2012","Yes","4694","138029","142723"
"H0302","Local CCP","HMO/HMOPOS","MEDISUN, INC.","Blue Cross Blue Shield of Arizona (AZ Blue)","Blue Cross Blue Shield of Arizona","08/01/1999","Yes","*","18008","18008"
"H0321","Local CCP","HMO/HMOPOS","ARIZONA PHYSICIANS IPA, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","09/01/2005","Yes","*","72210","72210"
"H0332","Local CCP","HMO/HMOPOS","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","UnitedHealth Group, Inc.","01/01/2008","Yes","1503","52294","53797"
"H0336","Demo","Medicare-Medicaid Plan HMO/HMOPOS","HUMANA HEALTH PLAN, INC.","Humana","Humana Inc.","02/01/2014","Yes","*","17467","17467"
"H0342","Local CCP","Local PPO","CAREPARTNERS OF CONNECTICUT, INC.","CarePartners of Connecticut","Point32Health, Inc.","01/01/2021","Yes","*","1723","1723"
"H0351","Local CCP","HMO/HMOPOS","HEALTH NET OF ARIZONA, INC.","Wellcare by Allwell","Centene Corporation","03/01/1992","Yes","*","17023","17023"
"H0354","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF ARIZONA, INC.","Cigna Healthcare","The Cigna Group","12/01/1992","Yes","*","58395","58395"
"H0363","Local CCP","HMO/HMOPOS","LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Plan","Longevity Health Founders, LLC","01/01/2021","Yes","*","259","259"
"H0390","National PACE","National PACE","PACE OF SOUTHWEST MICHIGAN, INC.","PACE of Southwest Michigan","PACE of Southwest Michigan, Inc.","08/01/2012","Yes","*","234","234"
"H0422","Local CCP","HMO/HMOPOS","UCARE HEALTH, INC.","UCare","UCare Minnesota","01/01/2019","Yes","*","630","630"
"H0423","Local CCP","HMO/HMOPOS","METROPLUS HEALTH PLAN, INC.","MetroPlus Health Plan","New York City Health and Hospitals Corporation","01/01/2008","Yes","*","10188","10188"
"H0432","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","3691","83301","86992"
"H0439","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF GEORGIA, INC.","Cigna Healthcare","The Cigna Group","01/01/2014","Yes","*","19419","19419"
"H0440","National PACE","National PACE","EMPATH LIFE, LLC","Empath LIFE","Empath Health, Inc.","07/01/2023","Yes","*","*","*"
"H0473","Local CCP","Local PPO","HUMANA INSURANCE COMPANY OF KENTUCKY","Humana","Humana Inc.","01/01/2019","Yes","*","58163","58163"
"H0477","National PACE","National PACE","SERENITY CARE, INC.","Serenity Care PACE","Serenity Care, Inc.","05/01/2014","Yes","*","477","477"
"H0480","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","MeridianComplete (Medicare-Medicaid Plan)","Centene Corporation","03/01/2015","Yes","*","6609","6609"
"H0482","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY MICHIGAN","Wellcare by Allwell","Centene Corporation","01/01/2021","Yes","*","4120","4120"
"H0504","Local CCP","HMO/HMOPOS","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service","05/01/1996","Yes","*","77299","77299"
"H0523","Local CCP","HMO/HMOPOS","AETNA HEALTH OF CALIFORNIA INC.","Aetna Medicare","CVS Health Corporation","05/01/1986","Yes","2448","13167","15615"
"H0524","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HP, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","08/01/1987","Yes","11957","1282776","1294733"
"H0542","National PACE","National PACE","ALTAMED HEALTH SERVICES CORPORATION","AltaMed Health Services Corporation","Altamed Health Services Corporation","11/01/2002","Yes","*","2911","2911"
"H0543","Local CCP","HMO/HMOPOS","UHC OF CALIFORNIA","UnitedHealthcare","UnitedHealth Group, Inc.","06/01/1985","Yes","1787","347444","349231"
"H0544","Local CCP","HMO/HMOPOS","BLUE CROSS OF CALIFORNIA","Anthem Blue Cross","Elevance Health, Inc.","02/01/2003","Yes","*","65925","65925"
"H0562","Local CCP","HMO/HMOPOS","HEALTH NET OF CALIFORNIA, INC.","Wellcare by Health Net","Centene Corporation","10/01/1992","Yes","1157","48354","49511"
"H0571","Local CCP","HMO/HMOPOS","CHINESE COMMUNITY HEALTH PLAN","CCHP (Chinese Community Health Plan)","Chinese Hospital Association","08/01/1994","Yes","*","5629","5629"
"H0609","Local CCP","HMO/HMOPOS","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc.","07/01/1986","Yes","9790","696705","706495"
"H0613","National PACE","National PACE","TOTAL LONGTERM CARE, INC.","InnovAge Colorado PACE","Total Community Options, Inc.","04/01/2003","Yes","*","2619","2619"
"H0624","Local CCP","HMO/HMOPOS","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc.","07/01/2005","Yes","*","28209","28209"
"H0628","Local CCP","HMO/HMOPOS","AETNA HEALTH OF OHIO INC.","Aetna Medicare","CVS Health Corporation","01/01/2020","Yes","404","80635","81039"
"H0630","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HP OF CO","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","01/01/1986","Yes","*","111944","111944"
"H0672","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF COLORADO, INC.","Cigna Healthcare","The Cigna Group","01/01/2020","Yes","*","9956","9956"
"H0710","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","07/01/2004","Yes","*","52612","52612"
"H0712","Local CCP","HMO/HMOPOS","WELLCARE OF CONNECTICUT, INC.","Wellcare","Centene Corporation","05/01/2005","Yes","*","7218","7218"
"H0724","Local CCP","HMO/HMOPOS","BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc.","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","*","*","*"
"H0738","Local CCP","HMO/HMOPOS","AmeriHealth Caritas VIP Next, Inc.","AmeriHealth Caritas VIP Care (HMO-D-SNP)","Independence Health Group, Inc.","01/01/2023","Yes","*","141","141"
"H0755","Local CCP","HMO/HMOPOS","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","12/01/1996","Yes","1879","69047","70926"
"H0764","Local CCP","Local PPO","UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2023","Yes","*","803","803"
"H0783","Local CCP","HMO/HMOPOS","HUMANA BENEFIT PLAN OF TEXAS, INC.","Humana","Humana Inc.","01/01/2021","Yes","*","1483","1483"
"H0809","National PACE","National PACE","MERCY LIFE, INC.","Mercy LIFE","Trinity Health Corporation","03/01/2014","Yes","*","211","211"
"H0819","National PACE","National PACE","SENIOR LIFE YORK, INC.","Senior LIFE York","Senior LIFE York, Inc.","05/01/2011","Yes","*","380","380"
"H0838","Local CCP","HMO/HMOPOS","UNIVERSAL CARE, INC.","Brand New Day","Bright Health Group, Inc.","04/01/2006","Yes","764","64316","65080"
"H0839","National PACE","National PACE","VOANS SENIOR COMMUNITY CARE OF NORTH CAROLINA, INC","Senior CommUnity Care of North Carolina","Volunteers of America National Services","07/01/2013","Yes","*","148","148"
"H0845","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2024","Yes","*","29","29"
"H0876","Local CCP","HMO/HMOPOS","Commonwealth Care Alliance Rhode Island, LLC","CCA Health Rhode Island","Commonwealth Care Alliance, Inc.","01/01/2022","Yes","*","442","442"
"H0885","Local CCP","Local PPO","HEALTHIER NEW JERSEY INSURANCE COMPANY","Braven Health","NJ Collaborative Care, LLC","01/01/2021","Yes","2015","44646","46661"
"H0907","Local CCP","HMO/HMOPOS","WELLPOINT IOWA, INC.","Wellpoint","Elevance Health, Inc.","01/01/2021","Yes","*","8428","8428"
"H0908","Local CCP","HMO/HMOPOS","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2008","Yes","*","11090","11090"
"H0913","Local CCP","HMO/HMOPOS","WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","Wellcare","Centene Corporation","01/01/2008","Yes","154","13746","13900"
"H0927","Demo","Medicare-Medicaid Plan HMO/HMOPOS","HEALTH CARE SERVICE CORPORATION","Blue Cross Community MMAI","Health Care Service Corporation","02/01/2014","Yes","*","22799","22799"
"H0934","National PACE","National PACE","PACIFIC PACE, LLC","WelbeHealth","WelbeHealth LLC.","07/01/2019","Yes","*","365","365"
"H0969","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE","Wellcare","Centene Corporation","01/01/2020","Yes","*","4000","4000"
"H0976","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN","SCAN Health Plan","SCAN Group","01/01/2024","Yes","*","20850","20850"
"H0978","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN NEVADA, INC.","SCAN Health Plan","SCAN Group","01/01/2022","Yes","*","1328","1328"
"H0982","Local CCP","HMO/HMOPOS","SOLIS HEALTH PLANS, INC.","Solis Health Plans","Athena Healthcare Holdings, LLC","01/01/2019","Yes","*","3422","3422"
"H1016","Local CCP","HMO/HMOPOS","AVMED, INC.","AvMed Medicare","Sentara Health Care (SHC)","09/01/1987","Yes","*","17444","17444"
"H1019","Local CCP","HMO/HMOPOS","CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.","Humana Inc.","02/01/1998","Yes","671","179487","180158"
"H1032","Local CCP","HMO/HMOPOS","Sunshine State Health Plan, Inc.","Wellcare","Centene Corporation","01/01/2000","Yes","*","83722","83722"
"H1035","Local CCP","HMO/HMOPOS","FLORIDA BLUE MEDICARE, INC.","Florida Blue HMO","Guidewell Mutual Holding Corporation","11/01/1985","Yes","*","89138","89138"
"H1036","Local CCP","HMO/HMOPOS","HUMANA MEDICAL PLAN, INC.","Humana","Humana Inc.","02/01/1986","Yes","6341","642282","648623"
"H1043","National PACE","National PACE","FLORIDA PACE CENTERS, INC.","Florida Pace Centers, Inc.","Miami Jewish Health Systems, Inc.","01/01/2003","Yes","*","888","888"
"H1045","Local CCP","HMO/HMOPOS","PREFERRED CARE PARTNERS, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","08/01/2002","Yes","*","332628","332628"
"H1099","Local CCP","HMO/HMOPOS","HEALTH FIRST HEALTH PLANS","Health First Health Plans, Inc.","Health First Shared Services, Inc.","04/01/1997","Yes","522","32558","33080"
"H1109","Local CCP","HMO/HMOPOS","AETNA HEALTH INC.(GA)","Aetna Medicare","CVS Health Corporation","07/01/2005","Yes","105","1272","1377"
"H1112","Local CCP","HMO/HMOPOS","WELLCARE OF GEORGIA, INC.","Wellcare","Centene Corporation","07/01/2005","Yes","1519","35094","36613"
"H1119","Local CCP","HMO/HMOPOS","TSG GUARD, INC.","Valor Health Plan","The Schroer Group, Inc.","01/01/2019","Yes","*","1346","1346"
"H1170","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HP OF GA, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","01/01/1997","Yes","77","38244","38321"
"H1181","MSA","MSA","NETWORK HEALTH INSURANCE CORPORATION","Network Health Medicare Advantage Plans","Network Health, Inc.","01/01/2015","No","1124","*","1124"
"H1189","Local CCP","HMO/HMOPOS","CHRISTUS HEALTH PLAN","CHRISTUS Health Advantage","CHRISTUS Health","01/01/2015","Yes","164","5242","5406"
"H1206","Local CCP","HMO/HMOPOS","COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","CVS Health Corporation","01/01/2024","Yes","*","449","449"
"H1215","Local CCP","HMO/HMOPOS","NEBRASKA TOTAL CARE, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","3133","3133"
"H1224","Local CCP","HMO/HMOPOS","LOCAL INITIATIVE HEALTH AUTHORITY FOR LA COUNTY","L.A. Care Health Plan","Local Initiative Health Authority for LA County","01/01/2023","Yes","*","19431","19431"
"H1225","Local CCP","HMO/HMOPOS","HOPKINS HEALTH ADVANTAGE, INC.","Johns Hopkins Advantage MD","Johns Hopkins Healthcare LLC","01/01/2018","Yes","35","7997","8032"
"H1228","National PACE","National PACE","GOLDEN VALLEY HEALTH CENTERS","Central Valley PACE","Golden Valley Health Centers","07/01/2020","Yes","*","171","171"
"H1230","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HP, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","05/01/1986","Yes","*","35893","35895"
"H1234","National PACE","National PACE","CAPITAL HEALTH LIFE","Capital Health LIFE","Capital Healthcare, INC.","04/01/2009","Yes","*","217","217"
"H1239","National PACE","National PACE","INNOVAGE VIRGINIA PACE-ROANOKE VALLEY, LLC","InnovAge Virginia PACE- Roanoke Valley","Total Community Options, Inc.","11/01/2013","Yes","*","244","244"
"H1248","Local CCP","Local PPO","LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY","Blue Cross and Blue Shield of Louisiana","Louisiana Health Service & Indemnity Company","01/01/2019","Yes","*","10116","10116"
"H1277","Local CCP","HMO/HMOPOS","ALIGN SENIOR CARE, INC.","Align Senior Care","Innovative Long Term Care Management, Inc.","01/01/2020","Yes","*","53","53"
"H1278","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2019","Yes","11105","195717","206822"
"H1280","Local CCP","HMO/HMOPOS","ETERNALHEALTH, INC.","eternalHealth","Eternal Health of Delaware, Inc.","01/01/2022","Yes","*","85","85"
"H1290","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF FLORIDA, INC.","Devoted Health","Devoted Health, Inc.","01/01/2019","Yes","*","42485","42485"
"H1302","Local CCP","Local PPO","BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho","Blue Cross of Idaho Health Service, Inc.","07/01/2005","Yes","1184","*","1184"
"H1304","Local CCP","Local PPO","REGENCE BLUESHIELD OF IDAHO, INC.","Regence BlueShield Of Idaho","Cambia Health Solutions, Inc.","07/01/2005","Yes","492","7671","8163"
"H1310","National PACE","National PACE","COMPREHENSIVE SENIOR CARE CORPORATION","Senior Care Partners P.A.C.E.","Comprehensive Senior Care Corporation","04/01/2009","Yes","*","595","595"
"H1339","Local CCP","HMO/HMOPOS","JOHNS HOPKINS HEALTH PLAN OF VIRGINIA, INC.","Johns Hopkins Advantage MD","Johns Hopkins Healthcare LLC","01/01/2024","Yes","*","*","*"
"H1347","Local CCP","Local PPO","PATRIUS HEALTH INC","Patrius Health","BlueCross BlueShield of Alabama","01/01/2023","Yes","*","1226","1226"
"H1350","Local CCP","HMO/HMOPOS","BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho","Blue Cross of Idaho Health Service, Inc.","09/01/1997","Yes","2309","51100","53409"
"H1352","Local CCP","HMO/HMOPOS","BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC.","Blue Medicare Advantage","Blue Cross and Blue Shield of Kansas City","01/01/2016","Yes","*","3878","3878"
"H1353","Local CCP","HMO/HMOPOS","WELLCARE OF WASHINGTON, INC.","Wellcare","Centene Corporation","01/01/2020","Yes","*","8359","8359"
"H1357","National PACE","National PACE","CAROLINA SENIORCARE","Carolina SeniorCare","EveryAge","10/01/2012","Yes","*","122","122"
"H1360","Local CCP","HMO/HMOPOS","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2021","Yes","*","9799","9799"
"H1365","Local CCP","Local PPO","MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","Martin's Point Health Care, Inc.","01/01/2010","Yes","*","1487","1487"
"H1372","Local CCP","HMO/HMOPOS","MARQUIS ADVANTAGE, INC.","AgeRight Advantage","Marquis Companies I, Inc.","01/01/2017","Yes","*","610","610"
"H1395","Local CCP","Local PPO","NEBRASKA TOTAL CARE, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","2232","2232"
"H1416","Local CCP","HMO/HMOPOS","HARMONY HEALTH PLAN,  INC.","Wellcare","Centene Corporation","05/01/2005","Yes","1236","62316","63552"
"H1423","Local CCP","HMO/HMOPOS","WELLPOINT OHIO, INC.","Wellpoint","Elevance Health, Inc.","01/01/2021","Yes","*","5372","5372"
"H1426","Local CCP","HMO/HMOPOS","CCA HEALTH PLANS OF CALIFORNIA, INC.","CCA Health California","Commonwealth Care Alliance, Inc.","01/01/2019","Yes","*","1076","1076"
"H1463","Local CCP","HMO/HMOPOS","HEALTH ALLIANCE CONNECT, INC.","Health Alliance Medicare","The Carle Foundation","10/01/1997","Yes","473","24968","25441"
"H1468","Local CCP","HMO/HMOPOS","HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana","Humana Inc.","02/01/1999","Yes","*","126748","126748"
"H1500","National PACE","National PACE","LIFE ST. JOSEPH OF THE PINES, INC.","LIFE St. Joseph of the Pines","Trinity Health Corporation","04/01/2011","Yes","*","181","181"
"H1518","National PACE","National PACE","CATHOLIC HEALTH SYSTEM BUFFALO PACE","Catholic Health LIFE","Catholic Health System, Inc.","09/01/2009","Yes","*","228","228"
"H1526","Local CCP","HMO/HMOPOS","GOLD KIDNEY OF FLORIDA INC","Gold Kidney Health Plan","Gold Kidney Health Plan","01/01/2024","Yes","*","209","218"
"H1533","National PACE","National PACE","STAYWELL SENIOR CARE, INC.","StayWell Senior Care","American Healthcare Systems, LLC","12/01/2014","Yes","*","79","79"
"H1537","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2012","Yes","*","8980","8988"
"H1544","National PACE","National PACE","LA COAST PACE, LLC","WelbeHealth","WelbeHealth LLC.","01/01/2020","Yes","*","307","307"
"H1587","Local CCP","HMO/HMOPOS","ARKANSAS SUPERIOR SELECT, INC.","Tribute Health Plans","Select Founders, LLC","01/01/2015","Yes","*","1678","1678"
